child_id,velocity_mean,velocity_std,velocity_max,velocity_cv,tremor_indicator,acc_magnitude_mean,acc_magnitude_std,palm_touch_ratio,unique_fingers,max_finger_id,session_duration,stroke_count,total_touch_points,unique_zones,unique_colors,final_completion,completion_progress_rate,avg_time_between_points,canceled_touches,session_count,touches_per_zone,strokes_per_zone,zones_per_minute,vel_std_over_mean,acc_std_over_mean,avg_ibp_norm,interpoint_rate,touch_rate,stroke_rate,bin_touch_rate_0,bin_touch_rate_1,bin_touch_rate_2,bin_touch_rate_3,bin_strokes_per_zone_0,bin_strokes_per_zone_1,bin_strokes_per_zone_2,bin_strokes_per_zone_3,bin_vel_std_over_mean_0,bin_vel_std_over_mean_1,bin_vel_std_over_mean_2,bin_vel_std_over_mean_3,bin_acc_std_over_mean_0,bin_acc_std_over_mean_1,bin_acc_std_over_mean_2,bin_acc_std_over_mean_3,bin_zones_per_minute_0,bin_zones_per_minute_1,bin_zones_per_minute_2,bin_zones_per_minute_3,bin_interpoint_rate_0,bin_interpoint_rate_1,bin_interpoint_rate_2,bin_interpoint_rate_3
65b2056fdd3d8b243ada0462,1938.7234549433488,1610.4163025085866,8682.223155286096,0.8338258157317501,0.021452387402250913,0.9912464171789642,0.021452387402250913,0.0,1.0,0.0,63.858509999999875,6.666666666666667,1228.3333333333333,6.666666666666667,1.0,100.32180533333333,0.08451741022187075,0.04997103468708384,0.0,3,184.249999723625,0.9999999985,6.263847938852505,0.8306580798793389,0.021641830743645948,0.000782527413797451,1277.9102460210436,19.235233223277262,0.10439746661208828,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
65b20599dd3d8b2b24da0463,1468.330041774539,1227.2942627428065,7585.373224561619,0.8358435963481136,0.028816558658249353,0.9909036602350811,0.028816558658249353,0.0,1.0,0.0,64.77794999999992,14.0,1209.0,4.0,3.0,92.40506,0.07643098428453268,0.05362413079470192,0.0,1,302.24999924437503,3.49999999125,3.7049643864466484,0.8358435963424211,0.029081089841369683,0.0008278145694086313,1207.9997749148083,18.663758266715202,0.21612292451117687,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
65b9eab5dd3d8b238bda0465,2556.432510506616,2113.7881899766917,9875.379365538314,0.8247956473833716,0.014924007451065075,0.9910981836856517,0.014924007451065075,0.00022727272727272727,1.25,0.25,62.689024999999674,20.5,1210.75,7.25,6.0,99.6674925,0.0856795964776242,0.05275802948479534,0.25,4,166.99999976965518,2.8275862029964327,6.939013580712001,0.8268507700794056,0.015058051307273947,0.0008415831874300132,1188.2364398333339,19.313587981418923,0.32701098791582733,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
65bb2adadd3d8b61dfda0466,2681.002829325137,2129.1104775310846,10218.561489773245,1.5617058437206857,0.03243669235167891,0.992973007601998,0.03243669235167891,0.0,1.0,0.0,38.7989700000001,10.2,266.2,4.8,1.0,57.598606608,0.17176103300668338,0.4745263934110711,0.0,5,55.458333217795136,2.1249999955729164,7.422877348194367,0.7941470461107584,0.03266623742708801,0.01223038635532763,81.76356411592435,6.861006875476057,0.2628935767462651,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
65bc8a9add3d8b3a90da0470,945.6474843630044,981.4544807534472,7844.631680170338,1.0586144655281544,0.012338763752677076,0.9904309263681232,0.012338763752677076,0.0031611995249136203,3.75,2.75,92.88391999999999,22.0,2175.0,6.5,3.75,97.540016025,0.046765837813194086,0.043395673859184254,5.75,4,334.6153841005917,3.384615379408284,4.198789171265883,1.0378650575104993,0.01245797490728925,0.0004672032990695508,2140.395351560799,23.416324373108253,0.2368547752682214,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
65bc9374dd3d8b932dda0485,1490.5964906976008,1816.9404310215566,22305.507047583684,1.231936675575789,0.035044322722190095,0.9912978102563867,0.035044322722190095,0.007513509795975031,4.333333333333333,3.3333333333333335,59.565270733333335,44.333333333333336,1178.3333333333333,6.666666666666667,5.333333333333333,92.31945333333333,0.08382719782465593,0.05360414966208462,8.0,3,176.749999734875,6.649999990025,6.715322385783474,1.218935132578393,0.03535196184848497,0.0008999228744055378,1111.206128756182,19.78222072406537,0.7442815717965189,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
65bdd219dd3d8b2e31da048e,1184.2781607762865,1157.0642669216447,6352.887843482388,0.9771052337907702,0.013409052792904714,0.9913752374155201,0.013409052792904714,0.0004880021874010632,2.3333333333333335,1.3333333333333333,87.57212233333333,15.666666666666666,2009.6666666666667,7.666666666666667,4.333333333333333,97.36821736666667,0.04925601644444567,0.04358575788820259,1.0,3,262.13043444069945,2.043478258204159,5.2528131623597565,0.9770206909442851,0.01352570868383252,0.0004977127049327552,2009.1907653882718,22.94870345596527,0.17890015963349934,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
65bddb71dd3d8b9b1dda0491,2333.0747218157035,2308.6588776972317,10144.629755554206,1.7254086665374913,0.001932206463843359,0.9897375941924249,0.001932206463843359,0.0,1.0,0.0,40.4582031428572,5.0,434.2857142857143,4.857142857142857,1.0,58.28812446714286,0.11642263407720914,0.27035577634697305,0.0,7,89.41176452179931,1.0294117625865054,7.203200944876906,0.9895349069191554,0.0019522411350834147,0.006682347590315074,149.64800161862775,10.734181956744774,0.12358433173883786,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
65c070d3dd3d8bbaf1da0498,1277.8622152223732,1935.074443623786,31536.254404126965,1.913386882357393,0.03494516232270785,0.9916841740356419,0.03494516232270785,0.016146850112225036,5.0,4.2,61.19060479999992,42.6,741.4,5.8,3.0,62.169784526,0.0735015612835225,0.08490676040267053,17.8,5,127.82758598650416,7.344827573543402,5.68714752411978,1.514306018721981,0.035238196681224764,0.0013875783817844348,720.679923636282,12.116239123670805,0.6961853070790077,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
65c1c282dd3d8b0ae2da04aa,2424.4367186419468,2095.852162134773,13230.31465294718,0.8842601425258874,0.06085321328691171,0.9954812852727252,0.06085321328691171,0.0017175659689860345,2.3333333333333335,1.3333333333333333,102.31819333333321,55.666666666666664,993.6666666666666,6.666666666666667,6.0,90.03317333333332,0.09049912336292631,0.10445738697073276,1.6666666666666667,3,149.04999977642498,8.349999987475,3.90937314883241,0.8644697327056342,0.06112943917267694,0.0010209072654383312,979.5208028398514,9.711534519891046,0.5440544330163719,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
